References
Reference List
List of References
Bibliography
Selected Bibliography
Annotated Bibliography
Works Cited
Works Consulted
Literature Cited
Source List
Sources
Sources Consulted
Reading List
Further Reading
Literature
Citations
Cited References
Citation List
Publications
List of Works
List of Sources
List of Citations
Bibliography and References
Literaturverzeichnis
Bibliographie
Bibliografie
Referenzen
Quellenverzeichnis
Quellen
Quellenangaben
Literatur
Literaturangaben
Quellenliste
Literaturverweise
Bücherverzeichnis
Verwendete Literatur
Zitierte Literatur
Quellen und Literatur
Quellenverweis
Références
Liste de références
Ouvrages cités
Sources consultées
Références bibliographiques
Bibliographie sélective
Liste bibliographique
Travaux cités
Liste des sources
Bibliografía
Referencias
Lista de referencias
Fuentes
Fuentes consultadas
Obras citadas
Lista de obras citadas
Referencias bibliográficas
Bibliografía seleccionada
Referencias citadas
Lista de fuentes
Documentos citados
Biblioteca consultada
Bibliografia
Riferimenti
Riferimenti bibliografici
Elenco delle fonti
Fonti
Opere citate
Opere consultate
Elenco delle opere citate
Bibliografia selezionata
Riferimenti citati
Lista delle fonti
Fonti citate
Riferimenti utilizzati
Referências
Lista de referências
Fontes
Fontes consultadas
Obras consultadas
Referências bibliográficas
Bibliografia selecionada
Lista de fontes
Literatuurlijst
Bronnen
Bronnenlijst
Bronvermelding
Referenties
Lijst van literatuur
Geraadpleegde bronnen
Bibliografie geselecteerd
Referanser
Litteraturliste
Kildeliste
Bibliografi
Litteratur
Kilder
Referanseliste
Referencer
Referenser
Litteraturförteckning
Quellen und Literatur
BIBLIOGRAPHIEN
Index
