pdf_file;page;group;label;pattern;context
/Users/programming/PycharmProjects/Find_Bibliography_NEw/data/azk_library/langmaier-konstantin-m__17.pdf;1;series;MAGZ (Mitteilungen der Antiquarischen Gesellschaft in Zürich);mitteilungen[\s \-]+der[\s \-]+antiquarischen[\s \-]+gesellschaft[\s \-]+in[\s \-]+z[üu]rich;Zeitschrift: Mitteilungen der Antiquarischen Gesellschaft in Zürich Herausgeber: Antiquarische Gesellschaft in Zürich Band: 73 (2006) Artike
/Users/programming/PycharmProjects/Find_Bibliography_NEw/data/azk_library/langmaier-konstantin-m__17.pdf;2;generic;Schlacht-/Kriegserzählungen;\bschlacht(?:en)?\b;nthart (hier «Jacob Güntert»), Bannervorträger der Zürcher in der Schlacht bei Wollerau vom 16. Dezember 1445, der «ohngeachtet der vielen e
/Users/programming/PycharmProjects/Find_Bibliography_NEw/data/azk_library/langmaier-konstantin-m__17.pdf;3;work;Schilling (ungenau);\bschilling\b;r Bevölkerung von Freienbach erlaubt, sich gegen einen Lohn von 5 Schilling pro Leiche, dem damals üblichen Totengräbertarif, an der Arbeit
/Users/programming/PycharmProjects/Find_Bibliography_NEw/data/azk_library/langmaier-konstantin-m__17.pdf;3;generic;Schlacht-/Kriegserzählungen;\bschlacht(?:en)?\b;len die Leichen der Soldaten bergen, die vier Tage zuvor in einer Schlacht gegen eidgenössische Truppen in der Nähe von Wollerau umgekommen
/Users/programming/PycharmProjects/Find_Bibliography_NEw/data/azk_library/langmaier-konstantin-m__17.pdf;3;generic;Schlacht-/Kriegserzählungen;\bschlacht(?:en)?\b;er zu retten. Die Nachhut der Zürcher entdeckte Günthart nach der Schlacht am Seeufer in Freienbach und konnte ihn in ihr Schiff aufnehmen,
/Users/programming/PycharmProjects/Find_Bibliography_NEw/data/azk_library/langmaier-konstantin-m__17.pdf;3;generic;Schlacht-/Kriegserzählungen;\bschlacht(?:en)?\b;museum in Zürich, nachdem esAdamNäfvon Hausen amAlbis 1531 in der Schlacht bei Kappel noch einmal hatte retten müssen, ebenfalls nach dem To
/Users/programming/PycharmProjects/Find_Bibliography_NEw/data/azk_library/langmaier-konstantin-m__17.pdf;4;work;Fründ (Hans Fründ);hans[\s \-]+fr[üu]nd;men, nämlich vom Schwyzer Landschreiber und «Chefpropagandisten» Hans Fründ. Fründ begleitete die Schwyzer Truppen in amtlicher Funktion übe
/Users/programming/PycharmProjects/Find_Bibliography_NEw/data/azk_library/langmaier-konstantin-m__17.pdf;4;work;Fründ (Hans Fründ);\bfr[üu]nd\b;n, nämlich vom Schwyzer Landschreiber und «Chefpropagandisten» Hans Fründ. Fründ begleitete die Schwyzer Truppen in amtlicher Funktion über
/Users/programming/PycharmProjects/Find_Bibliography_NEw/data/azk_library/langmaier-konstantin-m__17.pdf;4;work;Fründ (Hans Fründ);\bfr[üu]nd\b;ich vom Schwyzer Landschreiber und «Chefpropagandisten» Hans Fründ. Fründ begleitete die Schwyzer Truppen in amtlicher Funktion über weite S
/Users/programming/PycharmProjects/Find_Bibliography_NEw/data/azk_library/langmaier-konstantin-m__17.pdf;4;work;Fründ (Hans Fründ);\bfr[üu]nd\b;.4 Für das erste Gefecht bei Freienbach am 22. Mai 1443 überliefert Fründ die Zahl von 40 getöteten Feinden, die man in eine Grube gelegt ha
